Community District Number,CD Code,BoroCD,Mean ppb,Ranking
Bronx Community District 1,BX 01,201,17.7,16
Bronx Community District 2,BX 02,202,18.3,13
Bronx Community District 3,BX 03,203,17,25
Bronx Community District 4,BX 04,204,17.2,21
Bronx Community District 5,BX 05,205,17.2,21
Bronx Community District 6,BX 06,206,16.6,30
Bronx Community District 7,BX 07,207,15.6,42
Bronx Community District 8,BX 08,208,14.6,53
Bronx Community District 9,BX 09,209,16.4,34
Bronx Community District 10,BX 10,210,15.1,46
Bronx Community District 11,BX 11,211,14.8,49
Bronx Community District 12,BX 12,212,14.4,54
Brooklyn Community District 1,BK 01,301,19.4,7
Brooklyn Community District 2,BK 02,302,18.5,11
Brooklyn Community District 3,BK 03,303,17,25
Brooklyn Community District 4,BK 04,304,17.9,15
Brooklyn Community District 5,BK 05,305,17.1,24
Brooklyn Community District 6,BK 06,306,18,14
Brooklyn Community District 7,BK 07,307,18.8,9
Brooklyn Community District 8,BK 08,308,17,25
Brooklyn Community District 9,BK 09,309,16.1,40
Brooklyn Community District 10,BK 10,310,17.7,16
Brooklyn Community District 11,BK 11,311,15.5,43
Brooklyn Community District 12,BK 12,312,16.5,33
Brooklyn Community District 13,BK 13,313,13.5,56
Brooklyn Community District 14,BK 14,314,15.9,41
Brooklyn Community District 15,BK 15,315,14.1,55
Brooklyn Community District 16,BK 16,316,17.4,20
Brooklyn Community District 17,BK 17,317,16.6,30
Brooklyn Community District 18,BK 18,318,14.8,49
Manhattan Community District 1,MN 01,101,21.9,3
Manhattan Community District 2,MN 02,102,21.9,3
Manhattan Community District 3,MN 03,103,18.6,10
Manhattan Community District 4,MN 04,104,22.9,2
Manhattan Community District 5,MN 05,105,26.1,1
Manhattan Community District 6,MN 06,106,21.9,3
Manhattan Community District 7,MN 07,107,18.4,12
Manhattan Community District 8,MN 08,108,19.1,8
Manhattan Community District 9,MN 09,109,16.4,34
Manhattan Community District 10,MN 10,110,16.2,38
Manhattan Community District 11,MN 11,111,16.4,34
Manhattan Community District 12,MN 12,112,17.2,21
Queens Community District 1,QN 01,401,17,25
Queens Community District 2,QN 02,402,19.9,6
Queens Community District 3,QN 03,403,16.8,29
Queens Community District 4,QN 04,404,17.7,16
Queens Community District 5,QN 05,405,17.6,19
Queens Community District 6,QN 06,406,16.4,34
Queens Community District 7,QN 07,407,15.4,44
Queens Community District 8,QN 08,408,15.1,46
Queens Community District 9,QN 09,409,16.2,38
Queens Community District 10,QN 10,410,14.8,49
Queens Community District 11,QN 11,411,14.9,48
Queens Community District 12,QN 12,412,15.4,44
Queens Community District 13,QN 13,413,14.8,49
Queens Community District 14,QN 14,414,9.4,59
Staten Island Community District 1,SI 01,501,16.6,30
Staten Island Community District 2,SI 02,502,12.7,57
Staten Island Community District 3,SI 03,503,10.3,58