Community District Number,CD Code,BoroCD,Number of Complaints Received Annually,Ranking
Bronx Community District 1,BX 01,201,6589,18
Bronx Community District 2,BX 02,202,2691,50
Bronx Community District 3,BX 03,203,8047,10
Bronx Community District 4,BX 04,204,9321,6
Bronx Community District 5,BX 05,205,7033,13
Bronx Community District 6,BX 06,206,5914,25
Bronx Community District 7,BX 07,207,10057,4
Bronx Community District 8,BX 08,208,5263,29
Bronx Community District 9,BX 09,209,8786,8
Bronx Community District 10,BX 10,210,3258,45
Bronx Community District 11,BX 11,211,6467,19
Bronx Community District 12,BX 12,212,69736,1
Brooklyn Community District 1,BK 01,301,7940,11
Brooklyn Community District 2,BK 02,302,6700,15
Brooklyn Community District 3,BK 03,303,8505,9
Brooklyn Community District 4,BK 04,304,6684,16
Brooklyn Community District 5,BK 05,305,9957,5
Brooklyn Community District 6,BK 06,306,1947,59
Brooklyn Community District 7,BK 07,307,2205,56
Brooklyn Community District 8,BK 08,308,4511,37
Brooklyn Community District 9,BK 09,309,5963,24
Brooklyn Community District 10,BK 10,310,2829,47
Brooklyn Community District 11,BK 11,311,3176,46
Brooklyn Community District 12,BK 12,312,2725,49
Brooklyn Community District 13,BK 13,313,3860,40
Brooklyn Community District 14,BK 14,314,6783,14
Brooklyn Community District 15,BK 15,315,5276,28
Brooklyn Community District 16,BK 16,316,4575,34
Brooklyn Community District 17,BK 17,317,6088,21
Brooklyn Community District 18,BK 18,318,4101,39
Manhattan Community District 1,MN 01,101,2764,48
Manhattan Community District 2,MN 02,102,2579,51
Manhattan Community District 3,MN 03,103,7399,12
Manhattan Community District 4,MN 04,104,3551,44
Manhattan Community District 5,MN 05,105,2155,57
Manhattan Community District 6,MN 06,106,2334,53
Manhattan Community District 7,MN 07,107,4549,36
Manhattan Community District 8,MN 08,108,2395,52
Manhattan Community District 9,MN 09,109,6050,22
Manhattan Community District 10,MN 10,110,11230,2
Manhattan Community District 11,MN 11,111,6655,17
Manhattan Community District 12,MN 12,112,11116,3
Queens Community District 1,QN 01,401,6367,20
Queens Community District 2,QN 02,402,3686,43
Queens Community District 3,QN 03,403,4748,33
Queens Community District 4,QN 04,404,5552,26
Queens Community District 5,QN 05,405,4764,32
Queens Community District 6,QN 06,406,3858,41
Queens Community District 7,QN 07,407,4837,31
Queens Community District 8,QN 08,408,4558,35
Queens Community District 9,QN 09,409,5455,27
Queens Community District 10,QN 10,410,6040,23
Queens Community District 11,QN 11,411,2269,55
Queens Community District 12,QN 12,412,8955,7
Queens Community District 13,QN 13,413,3758,42
Queens Community District 14,QN 14,414,4449,38
Staten Island Community District 1,SI 01,501,5022,30
Staten Island Community District 2,SI 02,502,1970,58
Staten Island Community District 3,SI 03,503,2272,54