Community District Number,CD Code,BoroCD,Shares of Respodonts with Positive Rate,Ranking
Bronx Community District 1,BX 01,201,43.6,59
Bronx Community District 2,BX 02,202,54.9,53
Bronx Community District 3,BX 03,203,44.6,58
Bronx Community District 4,BX 04,204,52.5,55
Bronx Community District 5,BX 05,205,54,54
Bronx Community District 6,BX 06,206,56.8,50
Bronx Community District 7,BX 07,207,66.7,33
Bronx Community District 8,BX 08,208,81.8,4
Bronx Community District 9,BX 09,209,65.1,35
Bronx Community District 10,BX 10,210,82.3,3
Bronx Community District 11,BX 11,211,64.5,38
Bronx Community District 12,BX 12,212,64.3,39
Brooklyn Community District 1,BK 01,301,72.7,15
Brooklyn Community District 2,BK 02,302,69,27
Brooklyn Community District 3,BK 03,303,56.6,51
Brooklyn Community District 4,BK 04,304,57.8,47
Brooklyn Community District 5,BK 05,305,52.4,56
Brooklyn Community District 6,BK 06,306,71.5,23
Brooklyn Community District 7,BK 07,307,69.3,26
Brooklyn Community District 8,BK 08,308,74.5,10
Brooklyn Community District 9,BK 09,309,63.2,42
Brooklyn Community District 10,BK 10,310,72.6,16
Brooklyn Community District 11,BK 11,311,64.3,39
Brooklyn Community District 12,BK 12,312,66.7,33
Brooklyn Community District 13,BK 13,313,61,44
Brooklyn Community District 14,BK 14,314,63.8,41
Brooklyn Community District 15,BK 15,315,72.5,18
Brooklyn Community District 16,BK 16,316,52.3,57
Brooklyn Community District 17,BK 17,317,58.5,45
Brooklyn Community District 18,BK 18,318,73.1,12
Manhattan Community District 1,MN 01,101,76.1,8
Manhattan Community District 2,MN 02,102,71.7,22
Manhattan Community District 3,MN 03,103,58.3,46
Manhattan Community District 4,MN 04,104,64.8,37
Manhattan Community District 5,MN 05,105,67.7,31
Manhattan Community District 6,MN 06,106,67.6,32
Manhattan Community District 7,MN 07,107,80.5,5
Manhattan Community District 8,MN 08,108,71.1,24
Manhattan Community District 9,MN 09,109,65,36
Manhattan Community District 10,MN 10,110,55.6,52
Manhattan Community District 11,MN 11,111,57,48
Manhattan Community District 12,MN 12,112,68.9,28
Queens Community District 1,QN 01,401,73,14
Queens Community District 2,QN 02,402,76.7,7
Queens Community District 3,QN 03,403,72.6,16
Queens Community District 4,QN 04,404,56.9,49
Queens Community District 5,QN 05,405,72.5,18
Queens Community District 6,QN 06,406,74.1,11
Queens Community District 7,QN 07,407,73.1,12
Queens Community District 8,QN 08,408,72,21
Queens Community District 9,QN 09,409,70.7,25
Queens Community District 10,QN 10,410,68.7,29
Queens Community District 11,QN 11,411,87.3,1
Queens Community District 12,QN 12,412,62.8,43
Queens Community District 13,QN 13,413,86.6,2
Queens Community District 14,QN 14,414,75,9
Staten Island Community District 1,SI 01,501,68.7,29
Staten Island Community District 2,SI 02,502,72.3,20
Staten Island Community District 3,SI 03,503,78.2,6